plain_name,name,meaning,sample,note
go without,go without,to not have something that you used to have because conditions have changed and it's no longer available or affordable,,
grow on,grow on,"If something grows on you, you gradually start to like it, even though you didn't like it much at first.",,
grow out of,grow out of,"If you grow out of something, you become too big for it or too old for it.",,
grow up,grow up,"to change from being a child to being an adult, or from being an immature adult to being a mature adult",,
hammer out,hammer out,to reach an agreement or solution after a lot of negotiation or discussion,,
hand around,hand around,"If you hand around things like drinks or cakes, you give one to each person in a group.",,
hand back,hand back,to give something back to someone by hand,,
hand down,hand down,to pass knowledge or skills from one generation to the next,,
hand in,hand in,"If you hand something in, you give it to someone in authority, like a teacher, a policeman or a security guard.",,
hand on,hand on,"If you hand something on, you pass it to somebody else.",,
hand out,hand out,to give something directly to a number of people,,
hand over,hand over,to give something to someone else,We were ordered to hand over our passports.,
"hang around (also ""hang about"")","hang around (also ""hang about"")",to spend time somewhere without doing anything useful,Go and pack but don't hang around - we have to go in an hour.,"INFORMAL, BrE, AuE"
hang on,hang on,"If you hang on to something, you hold it tightly.",,
hang on,hang on,"If someone tells you to hang on, they want you to wait for a moment.",,"INFORMAL, BrE, AuE,"
hang onto,hang onto,"If you hang onto something, you keep it instead of throwing it away, giving it away, or selling it.",,INFORMAL
hang out,hang out,to hang wet clothes outside to dry,,
hang out,hang out,"to spend time in a certain place, or with certain people",,"INFORMAL,"
hang over,hang over,"If you feel that you are facing a threat or a danger, we can say the threat or the danger hangs over you.",,
hang up,hang up,"If you hang up a piece of clothing or a towel, you hang it on a hook, a rail, a hanger, etc.",,
hang with,hang with,to spend time with,,"INFORMAL, AmE"
happen to,happen to,"If something happens to you, an event or an occurrence affects you directly.",,
have against,have against,"If you have something against someone, you don't like them because of something they've said or done in the past.",,
have on,have on,"If you have something on, you are wearing it.",,
have on,have on,"If you have something on at a certain time, you've arranged to do something at that time.",,
have out,have out,"If you have something out, like a tooth or an organ, it's removed from your body.",,
have round,have round,"If you have people round, they visit your home, usually for a meal or for a social gathering.",,"BrE, AuE"
head for,head for,to go in a certain direction or towards a particular place or situation,,
head off,head sth/smb off,to leave a place,What time are you heading off?,"INFORMAL,"
head off,head sth/smb off,to force someone or something to change direction,I tried to head the dog off by running towards it.,
head off,head sth off,to stop something bad from happening,The company is putting up wages to head off a strike.,
head off,head smb off,to block someone's movement by getting in front of the person,The team would help developing countries head off such disasters.,
head up,head up,"to act as the head of a group or team, or to manage an organization",,
hear about,hear about,"If you hear about something, someone tells you about it or you find out about it from an information source like the news media.",,
hear from,hear from,"If you hear from someone, they call you, email you or contact you in some other way.",,
hear of,hear of,"If you've heard of someone, you know who they are and what they do.",,
hear out,hear out,"If you hear somebody out, you listen to them until they've finished what they are saying.",,
heat up,heat up,"If you heat something up, you make it hotter.",,
heat up,heat up,"If something like a discussion, a contest or a conflict heats up, it gets more intense, more exciting or more dangerous.",,
help out,help out,"If you help someone out, you do something to help them",Her parents helped (her) out with a £500 loan.,
hem in,hem in,"to restrict someone's movement, or to limit someone's freedom",,
hide away,hide away,"If you hide away, you go to a place where very few people can find you.",,
hit back,hit back,"If someone is beating or attacking you and you hit back, you fight to defend yourself.",,
hit on,hit on,to have a idea or to think of something,,
hold against,hold against,"to dislike somebody, or be angry with them, because you blame them for something bad that happened in the past",,
hold back,hold back,"to stop someone or something from going forward, or from progressing in some way",,
hold down,hold down,to stop something from rising by pressing down on it or putting a heavy object on it,,
hold forth,hold forth,"to talk about a topic for a long time, often in a way that other people find boring",,FORMAL
hold off,hold off,to delay doing something until a later time,They've decided to hold off on buying a car until they're both working./ Let's hold off making a decision until next week.,
hold on,hold on,to hold something like a railing or an overhead strap so you don't fall over,,
hold on,hold on,to wait for a short time,,
hold out,hold out,"If you hold something out, you hold it where other people can reach it.",,
hold out,hold out,"If a supply of something holds out, it continues to be enough and it doesn't run out.",,
hold out for,hold out for,"to wait until you get what you want, especially when negotiating",,
hold out on,hold out on,to refuse to give information to someone,,
hold to,hold to,to make someone do what they promised or agreed to do,,
hold up,hold up,"to cause a delay, or make someone or something later than expected",,
hold up,hold up,to support something and stop it from falling down,,
hold up,hold up,to steal from someone while threatening them with a gun or a similar weapon,,
hook up,hook up,"If you hook up things like computers and their peripherals, or the components of a home theatre, you connect them with cables.",,
hook up,hook up,"to meet with someone and join with them in work, travel or leisure activities",,"INFORMAL,"
hunt down,hunt down,"If you hunt down someone, you try to find them and capture or kill them.",,
hurry up,hurry up,"If you hurry up, you try to do something faster.",,
hush up,hush up,"to try to keep something secret, especially something that could damage the reputation of a person or an organization",,
identify with,identify with,"If you identify with someone, you feel you have a connection with them and you can understand them and share their feelings.",,
impact on,impact on,to have a significant effect on something,,
impose on,impose on,"If you impose something on someone, you force them to accept it even if they don't want to.",,
improve on,improve on,"If something is improved on, it's made better than it was.",,
incline to,incline to,"If somebody inclines to something such as a certain way of thinking, they will usually think in that way.",,FORMAL
indulge in,indulge in,"to do something that gives you pleasure, even though there could be some negative consequences",,
infer from,infer from,to believe something is true because you have some indirect evidence of it,,
inject into,inject into,to add something positive in order to make something work better,,
insist on,insist on,"If you insist on something, you say that you must have it or it must be done.",,
instil in,instil in,to condition someone to follow a certain belief or to behave in a certain way,,
interest in,interest in,"If you interest somebody in something, you make them want to know more about it.",,
interfere with,interfere with,to prevent something from happening in the usual way or stop it from developing normally,,
invest in,invest in,to put your energy and resources into something that you think will help you to achieve your goal,,
invest in,invest in,to put your money into a company or a business venture in order to get a share of any profit it makes,,
invite around,invite around,"If you invite somebody around, you invite them to your home for a meal, or a party, or a game of cards, etc.",,"BrE, AuE"
invite in,invite in,"If you invite somebody in, you ask them to come inside.",,
invite out,invite out,"If you invite somebody out, you ask them to go to a restaurant with you, or to see a movie, or go dancing, etc.",,
invite over,invite over,"If you invite somebody over, you invite them to your home, usually for a meal.",,
involve in,involve in,"If you involve yourself in something, or if someone else involves you in something, you take part in it.",,
iron out,iron out,"If you iron out the last details of a deal, you sort out the final problems or issues.",,"AmE, AuE"
itching for,itching for,"If you're itching for something, you really want it.",,
jack up,jack up,to increase the price or the cost of something by a large amount,,"INFORMAL,"
jack up,jack up,"If you jack something up, you use a jack to lift it off the ground.",,
jam into,jam into,to force too many things or people into a small space,,
jam up,jam up,"If something jams up, it can't work properly because one of its moving parts is jammed by something.",,
jazz up,jazz up,"If you jazz something up, you make it more exciting and more interesting.",,INFORMAL
jerk around,jerk around,"If someone jerks you around, they treat you badly or they deceive you in some way.",,"INFORMAL, AmE"
join in,join in,"If you join in an activity, you start doing it with people who are already doing it.",,
join up,join up,"If you join up two things, you connect them.",,
join up,join up,"If you join up, you enter the military in order to train and become a member of one of the armed forces.",,
join with,join with,"If you join with someone or something to do something, you do it together.",,FORMAL
jot down,jot down,"If you jot something down, you quickly write it down on a pad or piece of paper.",,
juice up,juice up,"to make something more exciting, more impressive, or more powerful",,INFORMAL
jumble up,jumble up,"If you jumble things up, you mix them up so that they are no longer in their proper order or formation.",,
jump at,jump at,"If you jump at something like an offer or an opportunity, you take it with enthusiasm.",,
jump in,jump in,"If people are talking and you jump in, you interrupt someone who's talking, or you say something without being asked to speak.",,
jump in,jump in,"If you jump in, you get involved in a situation as soon as you notice it.",,
jump on,jump on,"If someone jumps on you, they strongly criticise you.",,INFORMAL
jump up,jump up,"If you jump up, you stand up quickly.",,
jut out,jut out,"If something juts out, it is further foward than usual or it sticks out more than usual.",,
keel over,keel over,"If somebody keels over, they fall to the floor, usually because of illness or loss of consciousness.",,
keep at,keep at,"If you keep at something, you continue doing it.",,
keep away,keep away,"If you keep something or someone away, you don't let the thing or the person come near.",,
keep away from,keep away from,"If you keep away from something or someone, you don't go near the thing or the person.",,
keep back,keep back,"If you keep something back, you don't tell someone about it.",,
keep back,keep back,"If something keeps you back, it stops you from getting where you want to go.",,
keep down,keep down,"If you keep something down, you stop it from increasing in size or number.",We need to work hard to keep our prices down.,
keep down,keep down,to stop a noise from getting too loud,,
keep down,keep down,to keep food in your stomach even though you feel like vomiting,On the day after her operation she couldn't keep anything down.,
keep from,keep from,"If something or someone keeps you from doing something, it means you can't do it.",,
keep from,keep from,"If you keep something from someone, you don't tell them about it.",,
keep in,keep in,to make someone stay in a place like a school or a hospital,,
keep off,keep off,"to not go on something, or to stop something or someone from going on something",,
keep off,keep off,to avoid something like a certain food or a certain topic in conversation,,
keep on,keep on,"If you keep on doing something, you continue doing it.",,
keep on,keep on,"If you keep somebody on, you continue to employ them.",,
keep out,keep out,"If you keep something out, you make sure it stays outside and doesn't come inside.",,
keep out of,keep out of,"If you keep out of something, you don't get involved in it.",,
keep to,keep to,"If you keep to something like a limit, a budget or a schedule, you don't go over it or outside it.",,
keep up,keep up,to continue doing something that has been successful,,
keep up,keep up,"If you keep up with someone, you stay at the same level and don't fall behind them.",,
keep up,keep up,"If somebody or something keeps you up, you cannot go to bed.",,
key in,key in,to press the keys of a keyboard or a keypad in order to enter data,,
kick against,kick against,"to show anger or opposition to something, especially if you're powerless to change it",,
kick around,kick around,to discuss ideas or options in an informal way,,"INFORMAL,"
kick around,kick around,to treat someone badly,,"INFORMAL,"
kick back,kick back,"to relax and ""take it easy""",,"INFORMAL, AmE"
kick in,kick in,"If something kicks in, it starts to work or it starts to have an effect.",,INFORMAL
kick off,kick off,"to start something like a game, a meeting or a concert",,"INFORMAL,"
kick off,kick off,to force someone to leave something like a team or a committee,,"INFORMAL,"
kick out,kick out,"If somebody is kicked out of a place, they are forced to leave.",,INFORMAL
kick over,kick over,"If you kick something over, you make it fall over by kicking it.",,
kid around,kid around,to have fun by acting in a silly way,,INFORMAL
kill off,kill off,to cause the death of a whole population or an entire species,,
kneel down,kneel down,"If you kneel down, you lower your height by putting one or both knees on the floor.",,
knock around,knock around,to hit or kick somebody repeatedly,,"INFORMAL,"
knock around,knock around,"If you knock around with someone, you spend time together because you're friends.",,"INFORMAL,"
knock back,knock back,"to take a drink, usually alcoholic",,"INFORMAL,"
knock back,knock back,to reject someone or something or to refuse a request for something,,"INFORMAL, BrE, AuE,"
knock down,knock down,"If something like a building or a wall is knocked down, it is destroyed on purpose.",,
knock down,knock down,to hit someone with a vehicle,,"BrE,"
knock off,knock off,to stop work for the day,,"INFORMAL,"
knock off,knock off,to steal something,,"INFORMAL, BrE, AuE,"
knock off,knock off,to murder somebody,,"INFORMAL,"
knock off,knock off,"to reduce something, like a price or an amount",,"INFORMAL,"
knock out,knock out,"If you are knocked out, you are hit so hard that you lose consciousness.",,
knock out,knock out,"If you knock somebody out, you impress them very much with something you do, or something you make.",,"INFORMAL,"
knock out,knock out,"If you knock somebody out of a competition, they cannot continue because you've defeated them.",,
knock over,knock over,to hit somebody with a vehicle and injure or kill them,,"BrE,"
knock over,knock over,to rob something like a bank or a shop,,"INFORMAL, AmE, AuE,"
knock together,knock together,"to make something quickly, or without putting too much thought into details",,
knock up,knock up,to make something quickly and without too much effort,,"INFORMAL, BrE,"
knock up,knock up,to make a woman pregnant,,"BrE, AuE, offensive!,"
know of,know of,"If you know of something, you are aware of it.",,
known as,known as,"to be called a certain name, even though it mightn't be a real or official name",,
known for,known for,to be well-known for something or famous for something,,
knuckle down,knuckle down,"If you knuckle down, you start to take your work or your task seriously and do it properly.",,INFORMAL
lash out,lash out,to verbally or physically attack someone or something,,
laugh [lɑːf] off,laugh [lɑːf] off,to joke about something in order to make it seem less serious,"She tried to laugh off their remarks, but I could see she was hurt.",
launch into,launch into,"to start off something, like a speech or a song, in an energetic way",,
lay aside,lay aside,"to keep something for the future, such as money",,
lay down,lay down,"to officially state something like a policy, or rules, regulations, conditions, guidelines, etc.",,
lay into,lay into,to attack someone and repeatedly punch and kick them,,"INFORMAL,"
lay into,lay into,"If you lay into someone, you criticize them in an angry way.",,"INFORMAL,"
lay off,lay off,"If you lay someone off, you stop employing them and tell them they no longer have a job.",,
lay out,lay out,"If you lay things out, you spread them out so they're easy to see or easy to use.",,
lay out,lay out,to explain an idea or a plan clearly and in detail,,
laze around,laze around,to relax and do very little,,
lead to,lead to,to cause something to happen,,
lead up to,lead up to,"If a period of time or a series of events leads up to a particular event, it happens just before it.",,
leave behind,leave behind,"If you left something behind, you forgot to bring it with you.",,
leave in,leave in,"If you leave something in, you don't take it out or cut it out.",,
leave out,leave out,"If you leave something out, you don't include it or count it.",You can leave the butter out of this recipe if you're on a low-fat diet.,
leave to,leave to,to give someone responsibility for dealing with something or making a decision about something,,
be left over,be left over,"If an amount of money or food is left over, it remains when the rest has been used or eaten = How much will we have left over once we've paid all the suppliers?.",,
leave up to,leave up to,"If you leave something up to someone, you let them do it or you give them responsibility for it.",,
let down,let down,"If you let someone down, you disappoint them by not doing what they expect you to do.",,
let down,let down,to release the air from something like a tyre or a blow-up mattress,,"BrE, AuE,"
let go of,let go of,to stop holding something or someone,,
let in,let in,"If you let someone in, you allow them to enter a room or a building.",,
let off,let off,to give someone little or no punishment for doing something wrong,,
let off,let off,to make something explode,,
let out,let out,"When something that people go to, such as school or a show, lets out, it ends and everyone leaves",When does school let out for the summer?,
let out,let out,to make a particular sound or noise,,
let out,let out,to rent a room or a building to somebody,,
let up,let up,to become weaker or to become less intense,,
level with,level with,"If you level with someone, you tell them the truth about something.",,INFORMAL
lie around,lie around,"If things are lying around, they are left in places where they should not be",I wouldn't leave any money lying around the office if I were you.,
lie around,lie around,to spend time lying down and doing very little,"I spent a week in Spain, lying around on the beach.",
lie down,lie down,"to lie on a flat surface, such as a bed, usually to have a rest",,
lift off,lift off,q spacecraft or rocket leaving the ground,,
lift up,lift up,to move something to a higher position,,
light up,light up,"If something lights up, it becomes full of light or colour.",,
lighten up,lighten up,to become less serious or more easy-going,,INFORMAL
line up,line up,"If you line up, you join a line of people standing one behind the other, or side by side.",,
listen in,listen in,to try to hear what people are saying when they don't know you're listening,,
live down,live down,to have people forget about something embarrassing or silly that you've done,,
live for,live for,"to believe that something or someone gives your life meaning, or gives you a reason to live",My son lives for sports.,
live off,live off,to depend on something for the money or food you need to live,,
live on,live on,"If you live on a certain amount of money, you spend that much on your usual living expenses.",,
live together,live together,"If two people live together, they live in the same place and are in a sexual relationship without being married.",,
live up to,live up to,to be as good as expected,The concert was brilliant - it lived up to all our expectations.,
live up,live sth up,"to have an exciting and very enjoyable time with parties, good food and drink, etc.",He's alive and well and living it up in the Bahamas.,
live with,live with,"to accept something in your life that you cannot change, even though you don't like it or want it",,
load down,load down,"if you are loaded down with a lot of heavy things, you are carrying them",She was loaded down with luggage.,
load down,load down,"if you are loaded down with responsibilities, problems, or work, you have more than you can deal with",,
load up,load up sth,to put things in or on a vehicle,Let’s load up the car and then we can go.,
load (sth) up with,load (sth) up with sth,"to get a lot of money, assets, or debt, or to make someone else get them",A small independent broker has been telling clients to load up with stock as good dividends are predicted.,
load (sth) up with,load (sth) up with sth,"to put a large amount of goods, materials, etc. onto a vehicle to transport them",Fleets of small ships were loading up with oil in the Gulf.,
lock out of,lock sb out of sth,to prevent a person or organization from having or being able to take part in something,The company risks being locked out of China's booming car market.,
lock out,lock smb out,to prevent someone from entering a building or room by locking the door,He had to break into the house because his girlfriend had locked him out.,
lock up,lock up,to lock the doors and windows of a building or a car to make it secure,,
log in,log in,"to do certain things, like typing in a user name and password, in order to access an online application or a computer network",,
log out,log out,"to stop accessing a computer system, or to stop using an online application",,
long for,long for,to want something you miss very much,,
look after,look after,to make sure something or someone has everything they need and is healthy,,
look ahead,look ahead,to think about what will happen in the future and plan for these events,We are trying to look ahead and see what our options are.,
look at,look at,to focus your eyes on something,,
look at,look at,to think carefully before doing something,,
look at,look at sth,to read something in order to check it or form an opinion about it,Can you look at my essay sometime?,
look at,look at sth,"If someone, usually an expert, looks at something, they examine it",Did you get the doctor to look at your knee?,
look back on,look back on,"If you look back on something, you think about a period of time in the past or an event in the past.",,
look down on,look down on,"to think that someone is not as good as you are, or not as important as you are",,
look for,look for,"If you are looking for something, you're trying to find it.",,
look forward to,look forward to,"If you're looking forward to something that's going to happen, you feel excited or happy about it.",,
look into,look into,"If you look into something, you investigate it or you try to find out more about it.",,
look on,look on,to watch an event or an activity without being involved in it,,
look over,look over sth,to quickly examine something,Would you quickly look over these figures for me and see if there are any obvious mistakes?,
look out,look out,to watch what is happening and be careful,The police have warned shopkeepers to look out for forged notes.,
Look out!,Look out!,"If someone is in immediate danger, you can warn them by shouting ""Look out!"".",,
look up,look up,to try to find out something by looking in a reference book or on a reference website,,
look up,look up,"If a situation is looking up, it seems to be getting better.",,
look up to,look up to,"If someone looks up to another person, they respect or admire them.",,
lose out,lose out,"If you lose out, you fail to benefit from something that others are benefitting from .",The new tax means that the vast majority of working people will lose out.,
lose out,lose out,to not get something that you expected or wanted,Pensioners will lose out not only from tax on pension funds but from the windfall tax.,
mail out,mail out,to mail copies of something like a catalog or a CV to many people,,
major in,major in,"If you major in a field of study at university or college, that field is your main area of study.",,
make for,make for somewhere/sth,to move towards something,They made for the centre of town.,
make for,make for something,"to be one thing, or the most important thing, that causes something",Everyone agreed that filming inside a chocolate factory would make for good television.,
make for,make for sth,to result in or make possible,Having faster computers would make for a more efficient system.,
make into,make into,to change someone or something into someone or something different,,
make it up to,make it up to sb,"to do something good for someone you have upset, in order to become friends with them again","I'm sorry we can't take you with us, but I promise I'll make it up to you somehow.",
make of,make of,"to understand, or to make sense of, someone or something",,
make of,make of,to use a chance or a talent to achieve success,,
make off with,make off with,"If you make off with something, you escape with something that you've stolen or something you got by cheating people.",,
make out/someone,make out something/someone,"to see or hear something, but only with difficulty",I couldn’t make out what he said,
make out,make out sth,"to say, usually falsely, that something is true",He made himself out to be a millionaire.,
make out,make out,"to kiss and touch in a sexual way, or to succeed in having sex with someone",Boys at that age are only interested in making out with girls.,"INFORMAL, AmE,"
make out,make out,"to deal with a situation, usually in a successful way",The business made out better than expected and profits were slightly up.,
make out,make out something,to write the details on a check or a legal document,Make the check out to Hommocks School PTA.,
make over,make over,to officially transfer ownership of something to someone,,
make over,make over,to make someone or something look better,,
make up,make sth up,to invent a story or think of an explanation for something,I made up an excuse about having to look after the kids.,
make up,make sth up,to prepare or arrange something by putting different things together,Could you make up a list of all the things that need to be done?,
make up,make sth up,to make an amount of something complete or correct,"I have £20,000 and I need £25,000 but my parents have promised to make up the difference.",
make up,make sth up,"to reduce or replace something, usually an amount of time or work, that has been lost",We're hoping to make up time on the return journey by not stopping at night.,
make up,make up,to forgive someone and be friendly with them again after an argument or disagreement,"They kissed and made up, as usual.",
make up for,make up for sth,to take the place of something lost or damaged or to compensate for something bad with something good,This year's good harvest will make up for last year's bad one.,
make up,make up sth,"to form a particular thing, amount, or number as a whole",Car accident victims make up almost a quarter of the hospital's patients.,
make up to,make up to sb,to be too friendly to someone or to praise them in order to get advantages for yourself,Have you seen the disgusting way she makes up to the boss?,
map out,map out,"If you map out something, you plan in detail the future of something.",,
march on,march on,to walk in a group towards a place in order to protest against something or to demand something,,
mark down,mark down,"If you mark something down, you reduce its selling price.",,
mark off,mark off,"If you mark off items on a list, you mark each one after you've dealt with it.",,
mark off,mark off,"If you mark off an area, you show where the boundaries are with lines, strings, or other markers.",,
mark up,mark up,"If you mark something up, you sell it for a price that is higher than the price you paid for it.",,
match up,match up,"to find things that go together, or match in some way",,
max out,max out,"to reach the maximum limit of something, or to use up all of something",,INFORMAL
measure up,measure up,to be good enough or to be of the required standard,,
meet up,meet up,"to arrange to meet somebody, or to meet by chance",,
meet with,meet with,"to get a certain reaction or response, either positive or negative",,
mess around,mess around,"to spend time doing various things that are not important, without any particular purpose or plan",They spend their weekends messing around on their boat.,"INFORMAL,"
mess around,mess around,to behave in a stupid or annoying way,Stop messing around and listen to me!,
mess around (with),mess around (with sb),"If a married man or woman messes around with someone, they have a sexual relationship with someone who is not their wife or husband",She found out that her husband was messing around with his secretary.,"INFORMAL, AmE"
"mess around with (also ""mess about with"")","mess around with sth (also ""mess about with sth"")",to use or treat something in a careless or harmful way,I don't want him coming in here and messing around with our computers.,INFORMAL
mess about/around,mess sb about/around,to treat someone badly,I'm tired of being messed around by my bank.,BrE
mess up,mess up,"to do something incorrectly, or to make a mistake",,INFORMAL
"mill around (also ""mill about"")","mill around (also ""mill about"")","If a group of people mill around, they move around with no particular purpose or in no particular direction, sometimes while waiting for someone","In the square, people were milling around in the sunshine.",
minor in,minor in,to study another subject at university or college in addition to your main subject,,
miss out,miss out,"to miss the chance to get something you'd like to have, or do something you'd like to do",,
mistake for,mistake for,to wrongly think that a person or thing is someone or something else,,
mix up,mix up,"If you mix up two or more things, you forget which one is which.",,
mix up,mix up,"If you mix things up, you put things of different kinds together when they are usually separated.",,
mixed up in,mixed up in,"to be involved in something illegal or immoral, such as organised crime or corruption",,
mock up,mock up,to make a model of something to show how it will look or work,,
model on,model on,to use something or someone as an example to copy when making something or doing something,,
mop up,mop up,to clean up something that has spilled by using a mop or a cloth,,
mount up,mount up,to gradually become larger or greater in amount,,
mouth off,mouth off,"to speak in a loud and annoying way, especially when criticizing or complaining about something",,INFORMAL
move in,move in,to move your belongings into a new place and start living there,,
move in,move in,"to move closer, especially when you're trying to attack or catch someone or something",,
move in on,move in on,to try to take control of something that someone else has control of,,
move into,move into,"to begin living or working in a new place, or to go into a new type of business",,
move on,move on,"If you move on, you stop doing one activity and start doing another, or stop discussing one topic and start discussing another.",,
move out,move out,"If you move out, you leave the place in which you've been living or working, and move to a new place to live or work.",,
move over,move over,"If you move over, you change position to make room for someone or something, or to block someone or something.",,
move up,move up,"If you move up, you make space for someone else to sit down by moving a little.",,"BrE, AuE,"
move up,move up,"to move someone to a higher position, a higher level, a higher ranking, etc.",,
mow down,mow down,"to kill a number of people, usually by shooting them or driving a vehicle into them",,
muck around,muck around,to waste time when you could be doing something useful,,"INFORMAL, BrE, AuE"
muck up,muck up,"If you muck something up, you do it badly and fail to achieve your goal.",,INFORMAL
muddle through,muddle through,"If you muddle through, you succeed in doing something even though you haven't got the skills or equipment usually needed.",,
mull over,mull over,to think carefully about something before making a decision,,
muscle in,muscle in,to use your power or influence to force your way into a situation even if you're not wanted,,
nag at,nag at,"If someone is being nagged at by a fear, a doubt or a regret, they can't stop thinking about it.",,
nail down,nail down,"If you nail something down, you finally make a decision or come to an agreement about something.",,
nail down,nail down,"If you nail something down, you fasten it to a surface, such as the floor, with a nail.",,
nail up,nail up,"If you nail something up, you use a nail to attach it to a vertical surface like a wall or a door.",,
name after,name after,"If you name somebody after someone else, you give them the same name.",,"BrE, AuE"
name for,name for,"If you name somebody for someone else, you give them the same name.",,AmE
narrow down,narrow down,"to reduce the number of possibilities, options or choices",,
nibble away at,nibble away at,"to gradually reduce the quantity, strength or value of something",,
nip out,nip out,"If you nip out, you leave wherever you are for a short time.",,INFORMAL
nod off,nod off,"If you nod off, you fall asleep without meaning to.",,INFORMAL
nose around,nose around,"If someone is nosing around, they're looking around in order to find information about something.",,
notch up,notch up,to achieve something like a win or a record,,INFORMAL
note down,note down,to write something so that you do not forget it,I noted down his phone number.,
number among,number among,to include something or someone in a class or group of similar things or people,,
nut out,nut out,"If you nut something out, you solve a problem or you calculate something.",,AmE
object to,object to,"If you object to something, you don't think it's a good thing or a good idea, so you oppose it or you are against it.",,
on purpose,on purpose,"If you do something on purpose, you do it intentionally, not by accident",,
occur to,occur to,"If a thought or an idea occurs to you, it comes to you.",,
offer up,offer up,"to give thanks, praise or prayers to God or gods",,
open out,open out,to unfold and spread a folded map or newspaper in order to read it,,
open up,open up,"If you open up to somebody, you share your feelings with them",I've never opened up to anyone like I do to you.,
open up,open up,"If a country opens up, it becomes easier to travel there and do business.",,
open up,open up,"If you open up a new business, you set it up and start trading.",,
open up,open up,to show something that was hidden or not previously known,The debate could open up sharp differences between the countries.,
opposed to,opposed to,"If you are opposed to something, you're against it or you don't support it.",,
opt for,opt for,"If you opt for something, you choose it from a range of possible options.",,
opt in,opt in,"If you opt in, you choose to accept something, or do something, that is offered to you as an option.",,
opt out,opt out,"If you opt out of something, you choose not to be involved in it.",,
order about,order about,"If you order people about, you tell them what to do in a bossy way.",,BrE
order around,order around,"If you order people around, you tell them what to do in a bossy way.",,
order in,order in,"If you order in, you order food from a take-away restaurant and have it delivered to your home or office.",,"AmE, AuE"
order off,order off,"to tell a player to leave the field of play, or the court, usually because they have committed a foul or broken a rule",,
order out,order out,"If you order out, you order food from a take-away restaurant and have it delivered to you.",,AmE
order up,order up,"to issue an order for something to be done, usually in relation to the government or the military",,
order up,order up,to have food or drinks delivered to your room in a hotel,,
overcome with,overcome with,to be strongly affected by an emotion or a feeling,,
owe to,owe to,"If you owe something to someone, you feel that you only have it because of the person's help or support.",,
owe to,owe to,"If something happens owing to something else, it happens as a result of it.",,
own up,own up,"If you own up to something, you admit that you've done something wrong or made a mistake.",,
pack away,pack away,"If you pack something away, you put it back where it's usually kept after you've finished using it.",,
pack away,pack away,to eat a lot of food,,"INFORMAL,"
pack in,pack in,to attract large audiences or large crowds of spectators,,"INFORMAL,"
pack in,pack in,"If you pack something in, you stop doing it.",,"INFORMAL, BrE, AuE,"
pack into,pack into,to fit into a small or crowded space,,
pack into,pack into,to fit a lot of activities into a limited time,,
pack up,pack up,to put things into boxes or bags before moving them or sending them somewhere,,
pack up,pack up,"If something packs up, it stops working and needs to be fixed.",,"INFORMAL, BrE, AuE,"
pan out,pan out,"If you see how a situation pans out, you see how it develops over time.",,INFORMAL
part with,part with,"to give something to someone else, especially when you'd prefer to keep it",,
pass around,pass around,to pass something from person to person in a group,,
pass away,pass away,"If someone passes away, they die.",,
pass by,pass by,to go past something or someone,,
pass off as,pass off as,to make someone believe that a copy or a replica is the real thing,,
pass on,pass on,"polite expression for ""die""",It's important to remember friends and family who have passed on.,
pass on,pass on,"If you pass something on, you give it to another person after receiving it yourself","If he provided us with any information, no one passed it on to me.",
pass on,pass on,to refuse an opportunity or decide not to take part in something,He passed on the chance to be head coach and took a job in Florida.,
pass out,pass out,to give something to each person in a group,,
pass out,pass out,to lose consciousness all of a sudden,,
pass over,pass over,"If someone is passed over, they aren't given the promotion they were expecting, and the position is given to someone else instead.",,
pass up,pass up,"If you pass up an opportunity or an invitation, you choose not to take the opportunity or accept the invitation.",,INFORMAL
pat down,pat down,"to check that somebody isn't carrying a prohibited item, such as a gun, by patting different parts of their body",,
patch up,patch up,to fix something quickly so it can be used until it's repaired properly or replaced,,
patch up,patch up,to mend ties or repair a relationship after a disagreement or a dispute,,
pay back,pay back,"If you pay someone back, you return money that you borrowed from them in the past.",,
pay back,pay back,"If you pay someone back for doing something bad to you, you do something bad to them in return.",,
pay off,pay off,"If you pay off a loan, you pay it back in installments over a period of time.",,
pay off,pay off,"If something you do pays off, it ends up giving you some benefit or a good result.",,
pay out,pay out,"to pay a sum of money to somebody, especially a large sum",,
pay up,pay up,"If somebody pays up, they pay money they owe to someone even though they don't really want to.",,
pick on,pick on,"If you pick on someone, you repeatedly treat them badly or criticize them.",,
pick out,pick out,"If you pick out something, you choose or select it.",,
pick up,pick up,"If you pick up something, you take hold of it and lift it up.",,
pick up,pick up,"If you pick someone up, you meet them somewhere in order to give them a lift somewhere else.",,
piss about,piss about,to waste time or act in a stupid way,,"INFORMAL, BrE, AuE, offensive!"
piss off,piss off,"If someone pisses you off, they annoy you.",,"BrE, AuE, offensive!"
play around,play around,to waste time by being silly or stupid,,
play around,play around,to have sex with someone other than one's spouse or partner,,"INFORMAL,"
play back,play back,"to play something that's just been recorded, such as a video, a message, or some music",,
play down,play down,to try to make something seem less important or less damaging than it really is,,
play up,play up,"If something is playing up, it isn't working properly or it's causing problems.",,"INFORMAL, BrE, AuE,"
play up,play up,"to try to make something seem better, or more important, than it really is",,
point out,point out,to tell someone something you think they should know,,
pour in,pour in,to arrive at or enter a place in great numbers and with great speed or force,,
pour out,pour out,to leave a place in large numbers,,
print off,print off,to print a number of copies of something,,
print out,print out,to make a printed copy of a document,,
