plain_name,name,meaning,sample,note
burn out,burn out,to work too hard and suffer from physical and mental exhaustion,,
butt in,butt in,to start talking when somebody else is already talking,,
butt out,butt out,"If you want to tell someone quite forcefully to mind their own business, you can tell them to butt out.",,"INFORMAL, AmE"
butter up,butter up,to say nice things to someone before asking them to do something for you or to give you something,,
buy out,buy out,to buy somebody's share of a company or a partnership in order to take control of it,,
buy up,buy up,to buy all or a lot of something that is in limited supply,,
call back,call back,"If you call someone back, you return their telephone call.",,
call for,call for sb,to go to a place in order to collect someone,I'll call for you at eight.,
call for,call for sth,to suggest strongly that something should happen or is necessary,Many minority leaders called for the immediate resignation of the police commissioner.,
call off,call off,to cancel an event that was planned or scheduled,,
call on,call on,to visit someone for a short time,,
call out,call out,"If you call out, you use a loud voice to tell something to someone who's far away, or tell something to a large group.",,
call in,call in,to ask someone to come to help in a difficult situation,A new team of detectives were called in to conduct a fresh inquiry.,
call in,call in,"If a bank calls in money, it demands that you pay back the money it has lent to you",He needs to make the business work before the bank calls in the loan.,
call (in) on,call (in) on sb,to visit someone for a short time,I thought we might call in on your mother on our way - I've got some magazines for her.,
calm down,calm down,"If a person who is excited or agitated calms down, they become calmer and less excited or agitated.",,
care for,care for,"If you care for someone, you like them a lot and have a strong affection for them.",,
care for,care for,"If you care for someone or something, you look after them and make sure they have what they need.",,
care for,care for,"If you ask someone if they would care for something, you want to know if they'd like to have something.",,"FORMAL,"
carry on,carry on,to continue doing something,,
carry out,carry out,"If you carry out a task or a piece of work, you do whatever is needed to complete it.",,
cast light on,cast light on sth,"to provide an explanation for a situation or problem, or information that makes it easier to understand",The discovery of the dinosaur skeleton has cast light on why they became extinct.,
"cast a look, glance, smile, etc.","cast a look, glance, smile, etc.","to look, smile, etc. in a particular direction",e.g. She cast a quick look in the rear mirror.,
cast an/your eye over,cast an/your eye over sth,to look quickly at something,Could you cast an eye over this report for me?,
cast doubt/suspicion on,cast doubt/suspicion on sb/sth,to make people feel less sure about or have less trust in something or someone,New evidence has cast doubt on the guilty verdict.,
cast aspersions on,cast aspersions on sb/sth,to criticize or make damaging remarks or judgments about someone or something,His opponents cast aspersions on his patriotism.,FORMAL
cast your mind back,cast your mind back,to try to remember,"If you cast your mind back, you might recall that I never promised to go",
cast a/your vote,cast a/your vote,to vote,All the votes in the election have now been cast and the counting has begun,
